’85593c22,Zyriix,2020-02-08 11:25:57 +0800,Update application.yml’
’98a770e9,Zyriix,2020-02-08 11:25:24 +0800,Update application-production.yml’
’e2c2b97a,Zyriix,2020-02-08 11:02:20 +0800,Update k8s.yaml’
’d6c37be4,Zyriix,2020-02-08 11:00:55 +0800,Update application-production.yml’
’eb2258a5,Zyriix,2020-02-08 11:00:14 +0800,Update application.yml’
’7d8c526f,Zyriix,2020-02-08 10:56:39 +0800,Update k8s.yaml’
’82c77425,Zyriix,2020-02-08 10:49:11 +0800,Update k8s.yaml’
’8d2ca6e3,Jerry,2020-01-14 10:42:50 +0800,Update application-production.yml’
’96d2a35b,张富利,2020-01-13 19:04:40 +0800,pipeline-eureka’
’87aeb372,张富利,2020-01-13 19:02:32 +0800,pipeline-mongo’
’610aed7f,张富利,2020-01-11 17:11:42 +0800,spring-plugin-core’
’7fafaa05,Zyriix,2020-01-10 19:18:29 +0800,Merge pull request #403 from doporg/pomChange’
’fd3ad0ae,Zyriix,2020-01-10 19:16:27 +0800,移除gateway的spring-plugin依赖’
’31d93f8b,Zyriix,2020-01-10 18:38:00 +0800,Merge pull request #402 from doporg/pomChange’
’b911f809,Zyriix,2020-01-10 18:36:55 +0800,修改javaconnector’
’f58443e8,Zyriix,2020-01-10 18:21:01 +0800,Update k8s.yaml’
’612baf71,Zyriix,2020-01-10 17:41:18 +0800,Update k8s.yaml’
’9665c8b3,Zyriix,2020-01-07 19:07:04 +0800,Merge pull request #401 from doporg/dependencyAdd’
’9d14d4e2,Zyriix,2020-01-07 19:02:06 +0800,添加依赖，更新文档’
’72dac406,zhangfuli,2020-01-07 17:37:41 +0800,Merge pull request #400 from doporg/dependency’
’23335048,张富利,2020-01-07 17:37:00 +0800,spring-plugin-core’
’21f594dc,552000264,2020-01-07 16:20:45 +0800,改回 mysql版本’
’1a68f7a1,552000264,2020-01-07 15:39:09 +0800,修改 sql-connector的版本’
’e0ba3a5d,552000264,2020-01-07 14:26:48 +0800,修改API host为 "http://open.dop.clsaa.com"’
’b550adb7,552000264,2020-01-07 13:20:55 +0800,Merge remote-tracking branch 'origin/master'’
’286abf28,552000264,2020-01-07 13:20:37 +0800,修改 服务发现地址’
’d6bbe07e,zhangfuli,2019-12-30 19:52:13 +0800,Merge pull request #399 from doporg/works’
’a88f4f0e,张富利,2019-12-30 19:51:16 +0800,工作分配’
’66405750,张富利,2019-12-30 19:50:30 +0800,工作分配’
’6a1e2933,Jerry,2019-12-30 12:22:29 +0800,add mysql and mongoDB script’
’3e116e51,552000264,2019-12-28 16:38:20 +0800,将 extension/v1beta1 改为 apps/v1’
’48a81220,552000264,2019-12-28 11:26:16 +0800,修改 k8s.yml deployment 配置’
’558552c3,552000264,2019-12-28 10:55:23 +0800,修改 k8s.yml deployment 配置 apiVersion 改为 v1 ，尝试能否部署’
’3228fff1,Jerry,2019-12-27 17:30:37 +0800,auto script’
’4c78552e,Zyriix,2019-12-26 15:20:56 +0800,Merge pull request #398 from doporg/urlChange’
’bf8aa6ae,Zyriix,2019-12-26 15:19:50 +0800,服务发现地址改为ip:port’
’7918a301,Zyriix,2019-12-26 15:09:36 +0800,Merge pull request #397 from doporg/urlChange’
’c91eb047,Zyriix,2019-12-26 15:08:30 +0800,服务发现地址改为ip:port’
’8ad7becd,Zyriix,2019-12-26 13:40:18 +0800,Merge pull request #396 from doporg/pomChange’
’c5edb78c,Zyriix,2019-12-26 13:33:17 +0800,修改依赖版本’
’b70038c6,Zyriix,2019-12-26 12:18:12 +0800,discovery-server,url地址修改’
’94f92cb6,552000264,2019-12-26 12:11:55 +0800,Merge remote-tracking branch 'origin/master'’
’acda7b83,552000264,2019-12-26 12:11:24 +0800,修改 k8s.yml deployment 配置’
’b2102ac9,Zyriix,2019-12-26 12:05:48 +0800,Merge pull request #395 from doporg/urlChange’
’392752d2,Zyriix,2019-12-26 11:54:55 +0800,discovery-server,url地址修改’
’a4b58364,552000264,2019-12-26 11:31:12 +0800,修改 k8s.yml deployment 配置’
’da10ec2f,Zyriix,2019-12-26 11:19:55 +0800,Merge pull request #394 from doporg/discoveryTest’
’dd625892,Zyriix,2019-12-26 11:16:45 +0800,修改message Server、rocketMQ相关配置，启动邮件发送服务 添加rocketMQ的部署文档’
’023f6ad0,552000264,2019-12-25 15:01:46 +0800,修改 k8s.yml deployment 配置’
’e42f7384,552000264,2019-12-25 14:28:05 +0800,修改 k8s.yml deployment 配置’
’d4b011c1,552000264,2019-12-25 11:28:04 +0800,修改 k8s.yml deployment 配置’
’ad481789,552000264,2019-12-24 10:36:35 +0800,修改 k8s.yml deployment 配置’
